date,first_dose_pct,second_dose_pct,booster_pct
2021-05-27,70.1,37.0,9.1
2021-05-28,71.1,38.0,9.5
2021-05-29,72.1,39.0,9.9
2021-05-30,73.1,40.0,10.4
2021-05-31,74.1,41.0,10.8
2021-06-01,75.0,42.0,11.3
2021-06-02,76.0,43.0,11.8
2021-06-03,76.9,44.0,12.3
2021-06-04,77.7,45.0,12.8
2021-06-05,78.6,46.0,13.3
2021-06-06,79.4,47.0,13.8
2021-06-07,80.2,48.0,14.4
2021-06-08,81.0,49.0,15.0
2021-06-09,81.8,50.0,15.6
2021-06-10,82.5,51.0,16.2
2021-06-11,83.2,52.0,16.8
2021-06-12,83.9,53.0,17.5
2021-06-13,84.6,54.0,18.1
2021-06-14,85.2,55.0,18.8
2021-06-15,85.8,55.9,19.5
2021-06-16,86.4,56.9,20.2
2021-06-17,87.0,57.8,21.0
2021-06-18,87.5,58.7,21.7
2021-06-19,88.1,59.6,22.5
2021-06-20,88.6,60.5,23.2
2021-06-21,89.1,61.4,24.0
2021-06-22,89.6,62.3,24.8
2021-06-23,90.0,63.1,25.6
2021-06-24,90.5,64.0,26.4
2021-06-25,90.9,64.8,27.3
2021-06-26,91.3,65.6,28.1
2021-06-27,91.7,66.4,28.9
2021-06-28,92.1,67.2,29.8
2021-06-29,92.4,67.9,30.6
2021-06-30,92.8,68.7,31.5
2021-07-01,93.1,69.4,32.4
2021-07-02,93.4,70.1,33.3
2021-07-03,93.7,70.8,34.1
2021-07-04,94.0,71.5,35.0
2021-07-05,94.3,72.1,35.9
2021-07-06,94.5,72.8,36.7
2021-07-07,94.8,73.4,37.6
2021-07-08,95.0,74.0,38.5
2021-07-09,95.3,74.6,39.4
2021-07-10,95.5,75.1,40.2
2021-07-11,95.7,75.7,41.1
2021-07-12,95.9,76.2,41.9
2021-07-13,96.1,76.7,42.7
2021-07-14,96.3,77.2,43.6
2021-07-15,96.4,77.7,44.4
2021-07-16,96.6,78.2,45.2
2021-07-17,96.8,78.6,46.0
2021-07-18,96.9,79.1,46.8
2021-07-19,97.1,79.5,47.5
2021-07-20,97.2,79.9,48.3
2021-07-21,97.3,80.3,49.0
2021-07-22,97.5,80.7,49.8
2021-07-23,97.6,81.1,50.5
2021-07-24,97.7,81.4,51.2
2021-07-25,97.8,81.8,51.9
2021-07-26,97.9,82.1,52.5
2021-07-27,98.0,82.4,53.2
2021-07-28,98.1,82.7,53.8
